run_id,lr,max_length,epochs,batch_size,apibank_overall,apibank_l1,apibank_l2,apibank_l3,bfcl_overall,bamboogle,dist_to_paper,status
29,1e-5,4096,3,32,0.00,,,,,,,eval_failed
15,5e-6,4096,5,64,0.00,,,,,,,eval_failed
16,5e-6,4096,7,16,0.00,,,,,,,eval_failed
30,1e-5,4096,3,64,0.00,,,,,,,eval_failed
17,5e-6,4096,7,32,0.00,,,,,,,eval_failed
31,1e-5,4096,5,16,0.00,,,,,,,eval_failed
32,1e-5,4096,5,32,0.00,,,,,,,eval_failed
18,5e-6,4096,7,64,0.00,,,,,,,eval_failed
33,1e-5,4096,5,64,0.00,,,,,,,eval_failed
34,1e-5,4096,7,16,0.00,,,,,,,eval_failed
35,1e-5,4096,7,32,0.00,,,,,,,eval_failed
36,1e-5,4096,7,64,0.00,,,,,,,eval_failed
1,5e-6,2048,3,16,0.00,,,,,,,eval_failed
19,1e-5,2048,3,16,0.00,,,,,,,eval_failed
42,5e-5,2048,5,64,0.00,,,,,,,eval_failed
37,5e-5,2048,3,16,0.00,,,,,,,eval_failed
2,5e-6,2048,3,32,0.00,,,,,,,eval_failed
20,1e-5,2048,3,32,0.00,,,,,,,eval_failed
38,5e-5,2048,3,32,0.00,,,,,,,eval_failed
3,5e-6,2048,3,64,0.00,,,,,,,eval_failed
21,1e-5,2048,3,64,0.00,,,,,,,eval_failed
39,5e-5,2048,3,64,0.00,,,,,,,eval_failed
43,5e-5,2048,7,16,0.00,,,,,,,eval_failed
4,5e-6,2048,5,16,0.00,,,,,,,eval_failed
22,1e-5,2048,5,16,0.00,,,,,,,eval_failed
40,5e-5,2048,5,16,0.00,,,,,,,eval_failed
44,5e-5,2048,7,32,0.00,,,,,,,eval_failed
5,5e-6,2048,5,32,0.00,,,,,,,eval_failed
45,5e-5,2048,7,64,0.00,,,,,,,eval_failed
46,5e-5,4096,3,16,0.00,,,,,,,eval_failed
23,1e-5,2048,5,32,0.00,,,,,,,eval_failed
47,5e-5,4096,3,32,0.00,,,,,,,eval_failed
24,1e-5,2048,5,64,0.00,,,,,,,eval_failed
48,5e-5,4096,3,64,0.00,,,,,,,eval_failed
25,1e-5,2048,7,16,0.00,,,,,,,eval_failed
49,5e-5,4096,5,16,0.00,,,,,,,eval_failed
26,1e-5,2048,7,32,0.00,,,,,,,eval_failed
50,5e-5,4096,5,32,0.00,,,,,,,eval_failed
27,1e-5,2048,7,64,0.00,,,,,,,eval_failed
51,5e-5,4096,5,64,0.00,,,,,,,eval_failed
28,1e-5,4096,3,16,0.00,,,,,,,eval_failed
52,5e-5,4096,7,16,0.00,,,,,,,eval_failed
53,5e-5,4096,7,32,0.00,,,,,,,eval_failed
54,5e-5,4096,7,64,0.00,,,,,,,eval_failed
41,5e-5,2048,5,32,0.00,,,,,,,eval_failed
6,5e-6,2048,5,64,0.00,,,,,,,eval_failed
7,5e-6,2048,7,16,0.00,,,,,,,eval_failed
8,5e-6,2048,7,32,0.00,,,,,,,eval_failed
9,5e-6,2048,7,64,0.00,,,,,,,eval_failed
10,5e-6,4096,3,16,0.00,,,,,,,eval_failed
11,5e-6,4096,3,32,0.00,,,,,,,eval_failed
12,5e-6,4096,3,64,0.00,,,,,,,eval_failed
13,5e-6,4096,5,16,0.00,,,,,,,eval_failed
14,5e-6,4096,5,32,0.00,,,,,,,eval_failed
sft_lr1e-5_len4096_ep3_bs32,1e-5,4096,3,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep3_bs16,5e-5,4096,3,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len2048_ep7_bs16,5e-6,2048,7,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep5_bs64,5e-6,4096,5,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep3_bs64,1e-5,4096,3,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep3_bs32,5e-5,4096,3,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len2048_ep7_bs32,5e-6,2048,7,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep3_bs64,5e-5,4096,3,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep5_bs16,1e-5,4096,5,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep7_bs16,5e-6,4096,7,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len2048_ep7_bs64,5e-6,2048,7,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep5_bs16,5e-5,4096,5,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep3_bs16,5e-6,4096,3,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep5_bs32,1e-5,4096,5,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep3_bs32,5e-6,4096,3,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep7_bs32,5e-6,4096,7,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep5_bs32,5e-5,4096,5,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep5_bs64,1e-5,4096,5,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep3_bs64,5e-6,4096,3,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep5_bs64,5e-5,4096,5,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep7_bs64,5e-6,4096,7,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep5_bs16,5e-6,4096,5,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len2048_ep5_bs64,1e-5,2048,5,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep7_bs16,1e-5,4096,7,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-6_len4096_ep5_bs32,5e-6,4096,5,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len2048_ep7_bs16,1e-5,2048,7,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep7_bs16,5e-5,4096,7,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep7_bs32,1e-5,4096,7,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len2048_ep7_bs32,1e-5,2048,7,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep7_bs32,5e-5,4096,7,32,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len2048_ep7_bs64,1e-5,2048,7,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep7_bs64,1e-5,4096,7,64,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr1e-5_len4096_ep3_bs16,1e-5,4096,3,16,0.00,0.00,0.00,0.00,,,,,,,0.000
sft_lr5e-5_len4096_ep7_bs64,5e-5,4096,7,64,0.00,0.00,0.00,0.00,,,,,,,0.000
